Officer_ID;Mar Collections;Apr Collections;May Collections
62;1322;402;0
32;2584;1860;967
20;2749;1221;450
54;1747;834;252
49;3954;885;376
69;2825;1722;1158
21;2855;966;660
74;210;430;125
0;1787;1208;436
0;445;201;0
55;2143;1374;694
64;3500;1525;1118
0;0;0;0
72;3626;822;285
22;1295;1187;437
12;2703;352;257
33;0;0;0
80;2717;2009;407
42;2607;994;215
45;2607;994;215
14;2690;2283;1316
23;2010;1888;474
25;3551;2480;1093
50;2902;1017;479
28;1861;1569;470
71;3245;1180;751
59;4031;1548;566
5;1939;997;334
51;2757;797;537
78;1885;1727;829
9;4310;441;370
57;4718;1966;756
43;4388;2329;1127
0;2208;231;31
77;3326;1030;515
73;5792;1476;414
0;1174;822;665
37;3628;1269;451
2;1440;948;573
13;3130;1691;494
68;3130;1691;494
26;2007;4303;514
0;3072;2134;995
24;1245;1526;158
3;2292;1176;187
0;1902;625;490
56;2443;1788;270
36;2231;625;695
60;5264;4031;947
79;747;409;141
0;7140;1461;228
81;5488;776;1136
38;4618;4339;1265
15;1827;1119;470
8;3319;615;804
4;1484;1005;449
82;1550;1188;248
41;1468;1729;567
19;3971;304;215
65;3211;1039;198
61;2824;1238;927
63;5429;963;1024
44;1286;965;211
6;3002;2172;945
31;4538;2481;234
66;3492;396;420
0;2488;2274;720
0;2408;2033;1432
7;4978;2524;819
27;0;1139;280
34;1486;953;533
53;907;1350;705
0;3483;2698;1217
70;83;1128;470
10;9829;2602;690
39;2160;2065;714
0;1523;1032;270
0;2003;1007;761
35;3519;1348;485
40;3645;2395;739
17;2393;0;0
18;4491;2162;423
46;1236;2436;1083
76;7460;2276;1565
